question,answer,context,source,difficulty,question_type
What type of retrieval does BM25 perform in Hybrid RAG?,Exact keyword matching,"Hybrid RAG combines keyword-based retrieval and semantic retrieval. BM25 is used for exact keyword matching, while vector search is used for meaning-based retrieval.",hybrid_rag_notes.txt,easy,factual
How are the final retrieved chunks merged in Hybrid RAG?,Using Reciprocal Rank Fusion (RRF),"The final retrieved chunks can be merged using Reciprocal Rank Fusion, also called RRF.",hybrid_rag_notes.txt,medium,factual
What is the role of RRF in Hybrid RAG?,It combines ranked results from multiple retrievers,RRF does not create chunks. It only combines ranked results from multiple retrievers.,hybrid_rag_notes.txt,hard,conceptual
What is BM25 used for in information retrieval?,BM25 is a ranking function used in information retrieval.,"BM25 is a ranking function used in information retrieval. It scores documents based on term frequency, inverse document frequency, and document length normalization. Rare query terms get higher importance through IDF. BM25 is useful when exact keywords, names, dates, IDs, and technical terms matter.",bm25_notes.txt,easy,factual
How does BM25 handle rare query terms?,Rare query terms get higher importance through IDF.,"BM25 is a ranking function used in information retrieval. It scores documents based on term frequency, inverse document frequency, and document length normalization. Rare query terms get higher importance through IDF. BM25 is useful when exact keywords, names, dates, IDs, and technical terms matter.",bm25_notes.txt,medium,conceptual
When is BM25 particularly useful?,"BM25 is useful when exact keywords, names, dates, IDs, and technical terms matter.","BM25 is a ranking function used in information retrieval. It scores documents based on term frequency, inverse document frequency, and document length normalization. Rare query terms get higher importance through IDF. BM25 is useful when exact keywords, names, dates, IDs, and technical terms matter.",bm25_notes.txt,hard,application
What is the main idea of Reciprocal Rank Fusion?,Reciprocal Rank Fusion combines multiple ranked lists.,"Reciprocal Rank Fusion combines multiple ranked lists. Instead of combining raw scores, it uses the rank position of each document. The formula is sum of 1 divided by k plus rank. A common value of k is 60. Documents that rank well in multiple retrievers usually move higher in the final result.",rrf_notes.txt,easy,factual
How does Reciprocal Rank Fusion handle documents that rank well in multiple retrievers?,Documents that rank well in multiple retrievers usually move higher in the final result.,"Reciprocal Rank Fusion combines multiple ranked lists. Instead of combining raw scores, it uses the rank position of each document. The formula is sum of 1 divided by k plus rank. A common value of k is 60. Documents that rank well in multiple retrievers usually move higher in the final result.",rrf_notes.txt,medium,conceptual
What is the purpose of the variable k in the Reciprocal Rank Fusion formula?,"The variable k is used in the formula sum of 1 divided by k plus rank, with a common value of 60.","Reciprocal Rank Fusion combines multiple ranked lists. Instead of combining raw scores, it uses the rank position of each document. The formula is sum of 1 divided by k plus rank. A common value of k is 60. Documents that rank well in multiple retrievers usually move higher in the final result.",rrf_notes.txt,hard,reasoning
What is the process called when a document is split into smaller text units?,Chunking,Chunking happens before retrieval. A document is split into smaller text units called chunks. Each chunk is stored in a BM25 index and also embedded into a vector database. Chunk size commonly ranges between 300 and 800 tokens depending on document type. Overlap of 50 to 100 tokens helps preserve context between chunks.,chunking_notes.txt,easy,factual
Why is overlap between chunks important?,To preserve context between chunks,Chunking happens before retrieval. A document is split into smaller text units called chunks. Each chunk is stored in a BM25 index and also embedded into a vector database. Chunk size commonly ranges between 300 and 800 tokens depending on document type. Overlap of 50 to 100 tokens helps preserve context between chunks.,chunking_notes.txt,medium,conceptual
What is the typical range of chunk size in terms of tokens?,Between 300 and 800 tokens,Chunking happens before retrieval. A document is split into smaller text units called chunks. Each chunk is stored in a BM25 index and also embedded into a vector database. Chunk size commonly ranges between 300 and 800 tokens depending on document type. Overlap of 50 to 100 tokens helps preserve context between chunks.,chunking_notes.txt,easy,factual
